fornecedor,valor,descricao,categoria
Asics,579.23,Material de proteção e luvas de guarda-redes,Material Desportivo
Intermarché,195.35,Refeições pós-jogo para atletas,Alimentação e Bebidas
Electricista Costa,311.35,Arranjo de portões e vedações,Manutenção e Reparações
Iberdrola,171.19,Água e saneamento mês de janeiro,Água Luz e Gás
Allianz,1099.74,Seguro de equipamentos e material,Seguros
Vodafone,28.99,Plano de dados móveis equipa técnica,Comunicações
Agência Criativa,182.5,Campanha nas redes sociais,Publicidade e Marketing
Fixando,508.86,Manutenção sistema elétrico pavilhão,Manutenção e Reparações
Worten,1176.73,Monitor e periféricos computador,Equipamento Informático
NOS,40.51,Fatura telemóvel treinador,Comunicações
Sport Zone,489.43,Material de proteção e luvas de guarda-redes,Material Desportivo
Gráfica Central,382.92,Campanha nas redes sociais,Publicidade e Marketing
Árbitro Costa,274.93,Quotas federação portuguesa de andebol,Arbitragem e Competições
Fidelidade,317.82,Apólice de seguro responsabilidade civil,Seguros
BP,1009.06,Disco externo backup documentos,Equipamento Informático
AXA,919.4,Renovação seguro instalações desportivas,Seguros
AXA,1197.45,Prémio de seguro anual clube,Seguros
MEO Empresas,59.31,Serviço de internet banda larga,Comunicações
MEO,656.28,Compra de portátil para escritório,Equipamento Informático
Worten,194.6,Software de gestão desportiva,Equipamento Informático
Pinturas Lisboa,216.2,Manutenção sistema elétrico pavilhão,Manutenção e Reparações
Gráfica Central,188.04,Impressão de cartazes e banners,Publicidade e Marketing
Árbitro Costa,149.71,Quotas federação portuguesa de andebol,Arbitragem e Competições
PricewaterhouseCoopers,578.93,Declaração fiscal anual do clube,Serviços de Contabilidade
Design Studio,198.82,Design de logótipo do clube,Publicidade e Marketing
TecnoFix,292.68,Substituição de equipamentos danificados,Manutenção e Reparações
Árbitro Silva,358.27,Honorários árbitro assistente,Arbitragem e Competições
Gráfica Central,181.94,Produção de flyers para torneio,Publicidade e Marketing
Samsung,776.37,Software de gestão desportiva,Equipamento Informático
Puma,485.77,Material de proteção e luvas de guarda-redes,Material Desportivo
Pingo Doce,322.03,Compras supermercado para torneio,Alimentação e Bebidas
Fixando,303.41,Manutenção sistema elétrico pavilhão,Manutenção e Reparações
El Corte Inglés,191.07,Compras supermercado para torneio,Alimentação e Bebidas
MEO Empresas,163.19,Compras alimentares para evento desportivo,Alimentação e Bebidas
MEO,65.01,Serviço de internet banda larga,Comunicações
Pingo Doce,36.8,Transporte atletas para competição,Transportes e Deslocações
Repsol,110.57,Transporte atletas para competição,Transportes e Deslocações
AXA,934.86,Seguro de equipamentos e material,Seguros
Ageas,1087.72,Prémio de seguro anual clube,Seguros
Dell,1042.19,Compra de portátil para escritório,Equipamento Informático
CP Comboios,110.39,Bilhetes de comboio campeonato,Transportes e Deslocações
Uber,134.91,Aluguer de autocarro para viagem,Transportes e Deslocações
Intersport,161.82,Campanha nas redes sociais,Publicidade e Marketing
Galp,98.82,Táxi ou uber após jogo tardio,Transportes e Deslocações
NOWO,64.55,Pack comunicações sede do clube,Comunicações
Federação Portuguesa de Andebol,148.38,Inscrição campeonato nacional,Arbitragem e Competições
Pinturas Lisboa,308.61,Reparação balneários instalações,Manutenção e Reparações
EDP Comercial,220.48,Fatura de eletricidade mês de março,Água Luz e Gás
Fixando,25.52,Serviço de limpeza e manutenção geral,Manutenção e Reparações
Zurich,1137.18,Seguro de saúde equipa técnica,Seguros
Decathlon,457.13,Sapatos e sapatilhas de andebol,Material Desportivo
Serralharia Norte,57.56,Material de proteção e luvas de guarda-redes,Material Desportivo
Intermarché,84.56,Refeições pós-jogo para atletas,Alimentação e Bebidas
Design Studio,352.64,Patrocínio e materiais de merchandising,Publicidade e Marketing
Lidl,224.25,Compras alimentares para evento desportivo,Alimentação e Bebidas
Worten,331.65,Tablet para gestão de treinos,Equipamento Informático
Gráfica Central,440.98,Design de logótipo do clube,Publicidade e Marketing
Mercadona,126.02,Refeições pós-jogo para atletas,Alimentação e Bebidas
Zurich,471.76,Renovação seguro instalações desportivas,Seguros
Dell,1374.8,Disco externo backup documentos,Equipamento Informático
Intermarché,136.58,Snacks e lanches concentração,Alimentação e Bebidas
Intersport,772.3,Compra de bolas de andebol,Material Desportivo
HP,319.57,Equipamento de treino para atletas,Material Desportivo
Design Studio,345.69,Impressão de cartazes e banners,Publicidade e Marketing
Auchan,310.08,Refeições pós-jogo para atletas,Alimentação e Bebidas
NOS,65.86,Plano de dados móveis equipa técnica,Comunicações
Pingo Doce,274.27,Compras alimentares para evento desportivo,Alimentação e Bebidas
NMedia,238.84,Patrocínio e materiais de merchandising,Publicidade e Marketing
HP,981.55,Monitor e periféricos computador,Equipamento Informático
Árbitro Silva,119.04,Honorários árbitro assistente,Arbitragem e Competições
BDO,275.08,Declaração fiscal anual do clube,Serviços de Contabilidade
NMedia,438.25,Patrocínio e materiais de merchandising,Publicidade e Marketing
Nike,437.66,Equipamento de treino para atletas,Material Desportivo
Hertz,167.01,Transporte atletas para competição,Transportes e Deslocações
MEO Empresas,109.26,Fatura telemóvel treinador,Comunicações
Intermarché,110.46,Refeições pós-jogo para atletas,Alimentação e Bebidas
CP Comboios,92.18,Transporte atletas para competição,Transportes e Deslocações
Águas de Portugal,227.86,Fornecimento de energia elétrica pavilhão,Água Luz e Gás
CP Comboios,133.99,Combustível viagem torneio nacional,Transportes e Deslocações
Pingo Doce,16.0,Refeições pós-jogo para atletas,Alimentação e Bebidas
Tranquilidade,1049.9,Prémio de seguro anual clube,Seguros
PricewaterhouseCoopers,335.68,Auditoria às contas do exercício,Serviços de Contabilidade
Pingo Doce,207.57,Compras supermercado para torneio,Alimentação e Bebidas
Auchan,220.6,Refeições pós-jogo para atletas,Alimentação e Bebidas
Adidas,422.47,Compra de bolas de andebol,Material Desportivo
PricewaterhouseCoopers,275.08,Consultoria financeira gestão associação,Serviços de Contabilidade
Iberdrola Portugal,187.36,Fatura de eletricidade mês de março,Água Luz e Gás
Intermarché,169.15,Compras alimentares para evento desportivo,Alimentação e Bebidas
Fidelidade,1065.64,Seguro de equipamentos e material,Seguros
TecnoFix,241.14,Pintura e remodelação escritório,Manutenção e Reparações
Pinturas Lisboa,355.58,Serviço de limpeza e manutenção geral,Manutenção e Reparações
Delegado Ferreira,220.6,Custos organização jogo oficial,Arbitragem e Competições
MEO,91.0,Pack comunicações sede do clube,Comunicações
EDP Comercial,199.65,Fatura bimestral de eletricidade,Água Luz e Gás
Decathlon,336.97,Compra de bolas de andebol,Material Desportivo
AXA,944.47,Seguro de equipamentos e material,Seguros
Rentalhas,78.39,Portagens deslocação equipa,Transportes e Deslocações
NOS,41.81,Fatura telefonia fixa mensal,Comunicações
KPMG,355.87,Relatório de contas anual,Serviços de Contabilidade
TecnoFix,208.88,Pintura e remodelação escritório,Manutenção e Reparações
Generali,968.87,Seguro de acidentes pessoais atletas,Seguros
Intersport,568.89,Aquisição de redes para baliza,Material Desportivo
Endesa Energia,232.74,Fatura bimestral de eletricidade,Água Luz e Gás
Decathlon,209.19,Coletes e fatos de treino,Material Desportivo
NOS Empresas,61.2,Plano de dados móveis equipa técnica,Comunicações
Tranquilidade,707.37,Seguro de acidentes pessoais atletas,Seguros
El Corte Inglés,248.68,Refeições pós-jogo para atletas,Alimentação e Bebidas
MEO Empresas,69.47,Fatura telefonia fixa mensal,Comunicações
NOS Empresas,70.44,Pack comunicações sede do clube,Comunicações
CP Comboios,46.2,Bilhetes de comboio campeonato,Transportes e Deslocações
Nike,546.44,Equipamento de treino para atletas,Material Desportivo
NOWO,66.93,Fatura telemóvel treinador,Comunicações
Uber,182.13,Patrocínio e materiais de merchandising,Publicidade e Marketing
Pingo Doce,113.67,Catering jantar de gala do clube,Alimentação e Bebidas
Auchan,29.29,Água e bebidas isotónicas treinos,Alimentação e Bebidas
Zurich,1133.9,Seguro de equipamentos e material,Seguros
NMedia,189.39,Fornecimento de energia elétrica pavilhão,Água Luz e Gás
Tranquilidade,999.81,Seguro de acidentes pessoais atletas,Seguros
Vodafone,61.99,Mensalidade internet e telefone,Comunicações
El Corte Inglés,188.35,Refeições pós-jogo para atletas,Alimentação e Bebidas
Printmaster,302.41,Design de logótipo do clube,Publicidade e Marketing
Decathlon,352.8,Compra de sacos de desporto e mochilas,Material Desportivo
Adidas,382.67,Coletes e fatos de treino,Material Desportivo
Intermarché,143.42,Água e bebidas isotónicas treinos,Alimentação e Bebidas
Endesa,142.88,Fatura bimestral de eletricidade,Água Luz e Gás
Serralharia Norte,211.03,Substituição de equipamentos danificados,Manutenção e Reparações
MEO Empresas,103.81,Plano de dados móveis equipa técnica,Comunicações
Generali,860.61,Apólice de seguro responsabilidade civil,Seguros
Hertz,180.34,Combustível deslocação a jogo fora,Transportes e Deslocações
Endesa Energia,332.2,Auditoria às contas do exercício,Serviços de Contabilidade
Endesa Energia,90.32,Água e saneamento mês de janeiro,Água Luz e Gás
Vodafone,276.42,Design de logótipo do clube,Publicidade e Marketing
Design Studio,373.14,Publicidade jornal local,Publicidade e Marketing
Serralharia Norte,402.21,Reparação canalização balneários,Manutenção e Reparações
Gráfica Central,331.02,Criação de site e presença online,Publicidade e Marketing
El Corte Inglés,151.97,Compras alimentares para evento desportivo,Alimentação e Bebidas
Dell,638.47,Impressora para secretaria do clube,Equipamento Informático
Electricista Costa,766.5,Webcam e microfone reuniões online,Equipamento Informático
Mercadona,208.04,Catering jantar de gala do clube,Alimentação e Bebidas
ManutençãoPro,214.17,Arranjo de portões e vedações,Manutenção e Reparações
Intersport,226.68,Coletes e fatos de treino,Material Desportivo
Rentalhas,97.79,Transporte atletas para competição,Transportes e Deslocações
BDO,364.46,Auditoria às contas do exercício,Serviços de Contabilidade
Associação Regional de Andebol,392.07,Inscrição campeonato nacional,Arbitragem e Competições
Iberdrola Portugal,136.61,Fatura de gás aquecimento balneários,Água Luz e Gás
BDO,430.67,Relatório de contas anual,Serviços de Contabilidade
Design Studio,36.17,Pack comunicações sede do clube,Comunicações
BDO,130.16,Auditoria às contas do exercício,Serviços de Contabilidade
Pinturas Lisboa,294.89,Reparação canalização balneários,Manutenção e Reparações
TOC Independente,248.96,Declaração fiscal anual do clube,Serviços de Contabilidade
Apple,970.24,Tablet para gestão de treinos,Equipamento Informático
TOC Independente,519.23,Relatório de contas anual,Serviços de Contabilidade
MEO Empresas,76.27,Pack comunicações sede do clube,Comunicações
Electricista Costa,275.17,Substituição de equipamentos danificados,Manutenção e Reparações
Tranquilidade,104.52,Água e bebidas isotónicas treinos,Alimentação e Bebidas
Iberdrola Portugal,149.17,Fornecimento de energia elétrica pavilhão,Água Luz e Gás
NOWO,82.86,Mensalidade internet e telefone,Comunicações
Árbitro Costa,168.07,Taxa de participação torneio,Arbitragem e Competições
Galp,157.19,Combustível deslocação a jogo fora,Transportes e Deslocações
Decathlon,175.97,Compra de bolas de andebol,Material Desportivo
Nike,338.63,Equipamento de treino para atletas,Material Desportivo
MEO Empresas,63.69,Mensalidade internet e telefone,Comunicações
MEO,75.04,Fatura telemóvel treinador,Comunicações
TOC Independente,497.41,Relatório de contas anual,Serviços de Contabilidade
Uber,95.4,Aluguer de autocarro para viagem,Transportes e Deslocações
Apple,903.59,Webcam e microfone reuniões online,Equipamento Informático
Águas de Portugal,219.85,Fornecimento de energia elétrica pavilhão,Água Luz e Gás
Continente,164.5,Compras alimentares para evento desportivo,Alimentação e Bebidas
Gráfica Central,258.46,Design de logótipo do clube,Publicidade e Marketing
Fixando,362.46,Serviço de limpeza e manutenção geral,Manutenção e Reparações
Decathlon,445.8,Aquisição de redes para baliza,Material Desportivo
Microsoft,241.86,Compra de portátil para escritório,Equipamento Informático
Pingo Doce,219.67,Compras alimentares para evento desportivo,Alimentação e Bebidas
NOS Empresas,21.62,Fatura telefonia fixa mensal,Comunicações
TOC Independente,245.03,Declaração fiscal anual do clube,Serviços de Contabilidade
Árbitro Costa,237.7,Declaração fiscal anual do clube,Serviços de Contabilidade
Lidl,129.2,Água e bebidas isotónicas treinos,Alimentação e Bebidas
Agência Criativa,295.63,Produção de flyers para torneio,Publicidade e Marketing
Dell,917.28,Webcam e microfone reuniões online,Equipamento Informático
NOS,40.19,Fatura telemóvel treinador,Comunicações
Serralharia Norte,194.03,Reparação balneários instalações,Manutenção e Reparações
Uber,173.46,Bilhetes de comboio campeonato,Transportes e Deslocações
Puma,101.58,Compra de sacos de desporto e mochilas,Material Desportivo
PricewaterhouseCoopers,293.74,Declaração fiscal anual do clube,Serviços de Contabilidade
MEO Empresas,117.61,Fatura bimestral de eletricidade,Água Luz e Gás
Design Studio,517.23,Publicidade jornal local,Publicidade e Marketing
Pinturas Lisboa,267.16,Reparação balneários instalações,Manutenção e Reparações
Contabilidade Silva & Associados,216.55,Serviços de contabilidade mensal,Serviços de Contabilidade
Auchan,175.15,Catering jantar de gala do clube,Alimentação e Bebidas
NOS,65.2,Pack comunicações sede do clube,Comunicações
Galp Energia,144.82,Fatura bimestral de eletricidade,Água Luz e Gás
Microsoft,1570.79,Software de gestão desportiva,Equipamento Informático
